City_ID,City,Latitude,Longitude,Country,Wind Speed,Max Temp,Humidity,Cloudiness,Date
231,bhim tal,29.35,79.57,IN,2.24,87.8,74,40,1601107923
232,kiunga,-6.12,141.29,PG,2.3,78.67,95,100,1601107923
233,merauke,-8.47,140.33,ID,20.11,81.01,74,2,1601107848
234,syumsi,57.11,51.61,RU,4.56,58.17,58,96,1601107924
235,capula,19.7,-101.8,MX,0.22,57.99,94,99,1601107924
236,ostrovnoy,68.05,39.51,RU,9.04,50.49,74,37,1601107924
237,havre-saint-pierre,50.23,-63.6,CA,7.49,28.4,92,1,1601107924
238,baykit,61.67,96.37,RU,5.93,54.3,49,0,1601107924
239,ulladulla,-35.35,150.47,AU,18.34,57.0,43,67,1601107925
240,san cristobal,7.77,-72.22,VE,1.77,65.44,76,67,1601107912
241,clyde river,70.47,-68.59,CA,11.41,30.2,86,90,1601107925
242,mahibadhoo,3.78,72.97,MV,10.42,82.51,74,95,1601107925
243,jieshi,22.81,115.83,CN,19.93,80.01,76,99,1601107925
244,bethel,41.37,-73.41,US,1.34,60.01,100,90,1601107926
245,cheremukhovo,60.35,59.99,RU,3.18,61.34,59,1,1601107926
246,quatre cocos,-20.21,57.76,MU,12.75,77.0,64,75,1601107926
247,carnarvon,-24.87,113.63,AU,14.99,73.4,53,0,1601107927
248,baghdad,33.34,44.4,IQ,8.05,100.4,21,0,1601107855
249,bilibino,68.05,166.44,RU,1.48,29.79,96,76,1601107927
250,tsiroanomandidy,-18.77,46.03,MG,1.16,91.96,26,0,1601107927
251,chincholi,17.47,77.43,IN,11.74,79.25,82,100,1601107927
252,narsaq,60.92,-46.05,GL,7.9,35.6,93,100,1601107928
253,tera,14.01,0.75,NE,13.2,86.81,52,4,1601107928
254,seoul,37.57,126.98,KR,6.93,77.0,46,75,1601107754
255,bonito,-21.12,-56.48,BR,3.56,71.29,38,0,1601107928
256,makakilo city,21.35,-158.09,US,3.36,80.6,65,1,1601107928
257,qingquan,30.45,115.26,CN,6.42,73.38,78,100,1601107929
258,khani,41.96,42.96,GE,3.36,71.6,88,90,1601107929
259,ust-maya,60.42,134.53,RU,9.28,55.81,53,0,1601107929
260,ahuimanu,21.44,-157.84,US,10.29,80.6,69,20,1601107929
261,kaeo,-35.1,173.78,NZ,8.01,63.0,90,91,1601107775
262,zhuhai,22.28,113.57,CN,18.34,86.0,79,40,1601107930
263,lata,40.16,-8.33,PT,4.29,57.0,85,10,1601107930
264,mugur-aksy,50.35,90.5,RU,1.83,34.84,69,100,1601107930
265,sheridan,44.83,-106.92,US,3.36,55.4,54,1,1601107931
266,vardo,70.37,31.11,NO,14.56,45.81,69,100,1601107931
267,ahipara,-35.17,173.17,NZ,12.35,61.39,87,91,1601107931
268,aracati,-4.56,-37.77,BR,8.16,71.74,80,7,1601107931
269,takoradi,4.88,-1.76,GH,8.46,76.89,87,100,1601107932
270,polis,35.04,32.43,CY,4.7,82.4,65,40,1601107932
271,hithadhoo,-0.6,73.08,MV,3.76,82.47,67,100,1601107932
272,kajaani,64.23,27.73,FI,9.17,57.2,87,100,1601107932
273,saint george,37.1,-113.58,US,3.36,73.4,16,1,1601107703
274,stornoway,58.21,-6.39,GB,8.05,48.0,81,40,1601107933
275,samarai,-10.62,150.67,PG,11.54,78.76,83,94,1601107933
276,hemnesberget,66.23,13.63,NO,5.32,35.01,100,83,1601107933
277,nizhniy kuranakh,58.84,125.49,RU,11.61,55.72,55,100,1601107927
278,fairbanks,64.84,-147.72,US,0.16,42.8,87,90,1601107772
279,dukat,62.55,155.55,RU,2.08,31.57,96,95,1601107934
280,chaiyaphum,15.75,102.0,TH,9.64,88.99,63,99,1601107934
281,north bend,43.41,-124.22,US,9.17,62.6,93,75,1601107934
282,quepos,9.42,-84.17,CR,2.24,68.0,100,97,1601107935
283,jalu,29.03,21.55,LY,11.23,94.69,16,0,1601107935
284,harrismith,-28.27,29.13,ZA,21.9,70.23,19,0,1601107935
285,touros,-5.2,-35.46,BR,3.36,69.8,94,40,1601107935
286,bud,39.45,-86.18,US,5.7,60.01,93,1,1601107936
287,norman wells,65.28,-126.83,CA,10.29,39.2,93,75,1601107936
288,rio verde de mato grosso,-18.92,-54.84,BR,6.55,78.94,28,0,1601107936
289,alice springs,-23.7,133.88,AU,10.29,77.0,16,0,1601107936
290,ouallam,14.32,2.09,NE,12.5,87.76,50,38,1601107937
291,bandarbeyla,9.49,50.81,SO,24.45,85.84,53,0,1601107937
292,bengkulu,-3.8,102.27,ID,5.59,81.84,79,88,1601107937
293,sawakin,19.11,37.33,SD,11.7,95.74,39,0,1601107808
294,geraldton,-28.77,114.6,AU,17.22,69.8,60,75,1601107937
295,batemans bay,-35.72,150.18,AU,5.01,61.0,69,35,1601107938
296,nola,40.92,14.53,IT,12.75,57.2,67,75,1601107938
297,acapulco,16.86,-99.89,MX,3.58,78.96,79,50,1601107938
298,jumla,29.27,82.18,NP,7.43,75.0,96,0,1601107938
299,ancud,-41.87,-73.82,CL,1.01,46.99,93,89,1601107939
300,inirida,3.87,-67.92,CO,1.57,71.62,97,100,1601107939
301,aksha,50.28,113.29,RU,12.1,59.81,35,21,1601107939
302,mayabon,9.1,123.17,PH,6.93,87.8,62,75,1601107939
303,gasa,31.5,34.47,PS,4.7,84.2,58,40,1601107940
304,wajid,3.81,43.25,SO,19.24,88.84,35,0,1601107940
305,greece,43.21,-77.69,US,5.82,64.99,87,1,1601107683
306,belem de sao francisco,-8.75,-38.97,BR,12.3,66.78,88,100,1601107940
307,mantua,45.17,10.78,IT,5.01,59.0,66,94,1601107940
308,orsha,54.52,30.41,BY,13.42,60.8,63,0,1601107941
309,port macquarie,-31.43,152.92,AU,3.0,62.01,24,0,1601107770
310,hefei,31.86,117.28,CN,6.71,77.0,57,75,1601107941
311,vershino-shakhtaminskiy,51.3,117.89,RU,8.48,63.09,51,64,1601107941
312,wittenberge,53.0,11.75,DE,2.1,51.01,90,100,1601107941
313,ozernovskiy,51.5,156.52,RU,13.11,47.28,69,0,1601107929
314,mar del plata,-38.0,-57.56,AR,8.05,52.0,100,40,1601107942
315,emporia,38.4,-96.18,US,6.93,66.2,93,1,1601107942
316,gweta,-20.18,25.23,BW,12.44,94.17,11,22,1601107942
317,chama,47.18,8.46,CH,14.99,46.99,65,90,1601107942
318,thunder bay,48.4,-89.32,CA,5.82,57.0,100,75,1601107900
319,kathu,7.92,98.33,TH,9.17,87.01,74,40,1601107943
320,portland,45.52,-122.68,US,6.6,57.2,93,90,1601107771
321,katsuura,35.13,140.3,JP,1.01,66.99,93,91,1601107748
322,amapa,1.0,-52.0,BR,1.05,70.86,98,82,1601107943
323,polonnaruwa,7.93,81.0,LK,11.21,97.52,39,52,1601107944
324,ziguinchor,12.58,-16.27,SN,6.93,73.4,100,75,1601107944
325,tura,25.52,90.22,IN,6.58,82.33,85,3,1601107944
326,plouzane,48.38,-4.62,FR,4.7,50.0,100,90,1601107945
327,olds,51.78,-114.1,CA,4.0,45.0,56,97,1601107945
328,paciran,-6.88,112.38,ID,11.79,86.05,64,91,1601107945
329,rocha,-34.48,-54.33,UY,8.57,56.93,92,100,1601107706
330,ixtapa,20.7,-105.2,MX,1.63,79.0,90,93,1601107945
331,morehead,37.27,-87.18,US,4.18,61.0,96,90,1601107946
332,northam,51.03,-4.22,GB,11.01,51.01,73,0,1601107946
333,zyryanka,65.75,150.85,RU,9.84,45.93,58,9,1601107946
334,sinnamary,5.38,-52.95,GF,7.2,77.59,87,100,1601107656
335,isangel,-19.55,169.27,VU,10.56,75.04,87,7,1601107946
336,mackenzie,55.3,-123.17,CA,10.29,48.2,66,90,1601107947
337,marrakesh,31.63,-8.01,MA,5.82,66.2,68,100,1601107947
338,boende,-0.22,20.87,CD,3.96,82.83,64,78,1601107947
339,garissa,-0.45,39.64,KE,16.42,87.26,40,47,1601107947
340,carlos chagas,-17.7,-40.77,BR,1.16,66.88,94,52,1601107947
341,flin flon,54.77,-101.86,CA,3.96,46.56,78,0,1601107948
342,kudahuvadhoo,2.67,72.89,MV,8.21,83.17,68,100,1601107948
343,gualaquiza,-3.4,-78.55,EC,2.37,57.47,87,30,1601107948
344,puerto escondido,15.85,-97.07,MX,4.41,79.25,81,98,1601107949
345,tiksi,71.69,128.87,RU,10.89,46.6,55,0,1601107949
346,hofn,64.25,-15.21,IS,20.33,46.15,77,100,1601107949
347,weiser,44.25,-116.97,US,8.05,60.8,59,90,1601107950
348,cumra,37.57,32.77,TR,2.24,69.8,52,0,1601107950
349,kvarkeno,52.08,59.73,RU,4.09,55.2,44,0,1601107950
350,sioux lookout,50.1,-91.92,CA,3.36,53.6,100,90,1601107950
351,bonham,33.58,-96.18,US,8.05,62.6,93,1,1601107950
352,saurimo,-9.66,20.39,AO,5.14,82.2,49,0,1601107951
353,portales,34.19,-103.33,US,9.17,71.01,28,1,1601107951
354,banda aceh,5.56,95.32,ID,10.92,84.96,64,85,1601107951
355,santa vitoria do palmar,-33.52,-53.37,BR,6.26,58.86,92,100,1601107952
356,mikkeli,61.69,27.27,FI,5.82,57.2,82,0,1601107952
357,evensk,61.95,159.23,RU,6.78,44.42,63,35,1601107952
358,marataizes,-21.04,-40.82,BR,6.98,70.0,84,0,1601107917
359,tiarei,-17.53,-149.33,PF,3.36,75.2,83,20,1601107952
360,poya,-21.35,165.15,NC,1.92,76.26,78,88,1601107953
361,kieta,-6.22,155.63,PG,4.32,81.05,72,100,1601107953
362,nanortalik,60.14,-45.24,GL,11.3,37.63,90,100,1601107953
363,mount pleasant,32.79,-79.86,US,5.77,73.99,100,75,1601107954
364,taoudenni,22.68,-3.98,ML,7.09,96.49,10,0,1601107954
365,tazovskiy,67.47,78.7,RU,15.12,47.73,69,99,1601107954
366,pychas,56.5,52.44,RU,5.3,61.0,60,93,1601107954
367,ginir,7.13,40.7,ET,5.3,70.81,63,2,1601107954
368,broken hill,-31.95,141.43,AU,10.29,57.2,41,75,1601107955
369,orumiyeh,37.55,45.08,IR,4.7,75.2,36,0,1601107955
370,redlands,34.06,-117.18,US,0.25,68.0,56,1,1601107955
371,aasiaat,68.71,-52.87,GL,9.06,33.17,92,100,1601107955
372,mossendjo,-2.95,12.73,CG,4.12,75.97,72,100,1601107956
373,tagusao,9.19,117.81,PH,11.34,84.25,77,87,1601107956
374,tacuarembo,-31.73,-55.98,UY,9.24,59.34,94,100,1601107956
375,pandan,14.05,124.17,PH,6.38,85.12,77,92,1601107956
376,stirion,38.4,22.72,GR,4.0,82.0,63,37,1601107957
377,kupang,-10.17,123.58,ID,10.29,86.0,70,20,1601107699
378,saldanha,-33.01,17.94,ZA,9.17,55.4,66,47,1601107957
379,tabou,4.42,-7.35,CI,11.14,77.22,86,75,1601107957
380,inuvik,68.35,-133.72,CA,11.41,33.8,100,90,1601107958
381,mweka,-4.85,21.57,CD,4.65,80.49,65,100,1601107958
382,chapais,49.78,-74.85,CA,9.17,50.0,100,90,1601107958
383,nanakuli,21.39,-158.15,US,3.36,80.01,65,1,1601107958
384,uglegorsk,49.08,142.03,RU,4.7,56.41,60,100,1601107958
385,hami,42.8,93.45,CN,6.38,72.59,21,0,1601107959
